ItemName,Zone,Rack,Slot,Slot Dimensions,Max Weight,Near Picking Zone,Near Packing Machine,Near Outbound Gate
Alcohol,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Non-fiction,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Dolls,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Plant Pots,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Shirt,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Paint,Zone 1,Rack 1,Slot 1,"[41, 64, 63]",707,False,False,True
Dolls,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Salt,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Fiction,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Plant Pots,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Prescription Medicine,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Academic,Zone 1,Rack 1,Slot 1,"[41, 64, 63]",707,False,False,True
Prescription Medicine,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Car Oil,Zone 1,Rack 1,Slot 1,"[41, 64, 63]",707,False,False,True
Pens,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Car Oil,Zone 1,Rack 1,Slot 1,"[41, 64, 63]",707,False,False,True
Seeds,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Pens,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Salt,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Notebooks,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Staplers,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Acid,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Batteries,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Shirt,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Pet Care Products,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Rice,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Laptop,Zone 1,Rack 1,Slot 1,"[41, 64, 63]",707,False,False,True
Mobile,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Alcohol,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Dolls,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Pots,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Prescription Medicine,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Mobile,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Football,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Board Games,Zone 1,Rack 1,Slot 1,"[41, 64, 63]",707,False,False,True
Pans,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Camera,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Cereal,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Markers,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Wheat,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Board Games,Zone 1,Rack 1,Slot 1,"[41, 64, 63]",707,False,False,True
Puzzles,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
Hammers,Zone 1,Rack 1,Slot 2,"[33, 41, 71]",1606,False,False,True
