ItemName,Zone,Rack,Slot,Slot Dimensions,Max Weight,Near Picking Zone,Near Packing Machine,Near Outbound Gate
Pet Care Products,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Prescription Medicine,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Gasoline,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Mobile,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Prescription Medicine,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Alcohol,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Jacket,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Salt,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Mascara,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Alkali,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Cutlery,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Fertilizer,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Puzzles,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Fertilizer,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Plant Pots,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Notebooks,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Acid,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Paint,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Rice,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Eyeliner,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Hammers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pans,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Eyeliner,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Laptop,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Vitamins,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Nails,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Pens,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Foundation,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
Hammers,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Eyeliner,Zone 1,Rack 1,Slot 2,"[46, 41, 73]",331,True,True,False
Wipers,Zone 1,Rack 1,Slot 1,"[76, 48, 76]",2075,True,True,False
